day	hour	value
1	1	04
1	2	04
1	3	12
1	4	14
1	5	13
1	6	14
1	7	24
1	8	12
1	9	22
1	10	11
1	11	02
1	12	12
2	1	03
2	2	00
2	3	13
2	4	04
2	5	00
2	6	00
2	7	00
2	8	00
2	9	00
2	10	05
2	11	00
2	12	00
3	1	07
3	2	19
3	3	23
3	4	24
3	5	12
3	6	12
3	7	23
3	8	22
3	9	11
3	10	21
3	11	00
3	12	14
4	1	13
4	2	14
4	3	16
4	4	25
4	5	33
4	6	14
4	7	40
4	8	33
4	9	11
4	10	13
4	11	14
4	12	23
5	1	10
5	2	00
5	3	00
5	4	00
5	5	11
5	6	04
5	7	00
5	8	01
5	9	00
5	10	01
5	11	00
5	12	02
6	1	10
6	2	00
6	3	04
6	4	00
6	5	00
6	6	00
6	7	04
6	8	02
6	9	00
6	10	02
6	11	01
6	12	04
