day	hour	value
1	1	00
1	2	00
1	3	00
1	4	00
1	5	00
1	6	00
1	7	00
1	8	00
1	9	00
1	10	00
1	11	00
1	12	00
2	1	00
2	2	00
2	3	00
2	4	00
2	5	00
2	6	04
2	7	00
2	8	00
2	9	00
2	10	01
2	11	00
2	12	00
3	1	00
3	2	00
3	3	00
3	4	00
3	5	00
3	6	00
3	7	04
3	8	00
3	9	00
3	10	02
3	11	00
3	12	00
4	1	00
4	2	00
4	3	00
4	4	00
4	5	02
4	6	01
4	7	00
4	8	18
4	9	00
4	10	04
4	11	00
4	12	00
5	1	27
5	2	00
5	3	00
5	4	00
5	5	05
5	6	00
5	7	00
5	8	00
5	9	00
5	10	00
5	11	00
5	12	00
6	1	00
6	2	00
6	3	00
6	4	00
6	5	00
6	6	00
6	7	00
6	8	00
6	9	00
6	10	04
6	11	00
6	12	00
