day	hour	value
1	1	34
1	2	22
1	3	11
1	4	32
1	5	35
1	6	24
1	7	24
1	8	32
1	9	12
1	10	22
1	11	09
1	12	21
2	1	30
2	2	24
2	3	13
2	4	14
2	5	13
2	6	43
2	7	23
2	8	15
2	9	16
2	10	17
2	11	02
2	12	11
3	1	07
3	2	17
3	3	35
3	4	42
3	5	25
3	6	15
3	7	53
3	8	25
3	9	14
3	10	22
3	11	21
3	12	14
4	1	00
4	2	04
4	3	04
4	4	14
4	5	23
4	6	12
4	7	24
4	8	12
4	9	00
4	10	00
4	11	00
4	12	02
5	1	10
5	2	00
5	3	00
5	4	07
5	5	11
5	6	04
5	7	00
5	8	11
5	9	03
5	10	00
5	11	00
5	12	04
6	1	11
6	2	00
6	3	00
6	4	00
6	5	00
6	6	00
6	7	11
6	8	13
6	9	00
6	10	08
6	11	00
6	12	04
