day	hour	value
1	1	02
1	2	00
1	3	00
1	4	00
1	5	00
1	6	00
1	7	04
1	8	13
1	9	00
1	10	00
1	11	00
1	12	00
2	1	00
2	2	00
2	3	00
2	4	00
2	5	00
2	6	04
2	7	00
2	8	00
2	9	00
2	10	11
2	11	00
2	12	00
3	1	23
3	2	06
3	3	03
3	4	00
3	5	15
3	6	00
3	7	04
3	8	22
3	9	00
3	10	05
3	11	00
3	12	12
4	1	00
4	2	00
4	3	00
4	4	02
4	5	14
4	6	00
4	7	00
4	8	15
4	9	02
4	10	19
4	11	00
4	12	02
5	1	14
5	2	00
5	3	00
5	4	00
5	5	02
5	6	00
5	7	00
5	8	02
5	9	00
5	10	00
5	11	00
5	12	04
6	1	03
6	2	00
6	3	00
6	4	00
6	5	00
6	6	00
6	7	00
6	8	00
6	9	00
6	10	02
6	11	00
6	12	04
