day	hour	value
1	1	00
1	2	00
1	3	00
1	4	00
1	5	00
1	6	00
1	7	23
1	8	22
1	9	00
1	10	21
1	11	09
1	12	00
2	1	00
2	2	00
2	3	00
2	4	00
2	5	00
2	6	11
2	7	00
2	8	00
2	9	00
2	10	05
2	11	00
2	12	00
3	1	00
3	2	00
3	3	22
3	4	13
3	5	13
3	6	14
3	7	03
3	8	00
3	9	00
3	10	04
3	11	00
3	12	06
4	1	06
4	2	00
4	3	07
4	4	00
4	5	14
4	6	01
4	7	04
4	8	00
4	9	00
4	10	06
4	11	00
4	12	02
5	1	05
5	2	00
5	3	00
5	4	00
5	5	13
5	6	00
5	7	00
5	8	00
5	9	00
5	10	00
5	11	00
5	12	00
6	1	05
6	2	00
6	3	00
6	4	00
6	5	00
6	6	00
6	7	11
6	8	46
6	9	21
6	10	08
6	11	00
6	12	12
